# { Experiment : TSP; Iterations : 20000; Runtime (ms) : 7359; }
# { HyperParameters : { Elites: 25.00%; Mutants: 15.00%; Elite Bias: 75.00% } }
# { Population : PopulationCount 96; InitialFitness : 108447.00; FinalFitness : 22878.00 }
# { DecodedChromosome : [ <5>, <34>, <41>, <3>, <22>, <16>, <1>, <9>, <8>, <38>, <31>, <44>, <18>, <7>, <28>, <6>, <37>, <19>, <17>, <27>, <43>, <30>, <36>, <46>, <33>, <15>, <40>, <12>, <20>, <11>, <23>, <47>, <21>, <32>, <24>, <10>, <45>, <35>, <4>, <26>, <42>, <2>, <29>, <14>, <13>, <25>, <39>, <48> ] }
Iteration, Fitness, Time
259, 40922.00, 0
260, 40922.00, 0
261, 40922.00, 0
262, 40922.00, 0
263, 40922.00, 0
264, 40922.00, 1
265, 40922.00, 0
266, 40922.00, 0
267, 40922.00, 0
268, 40922.00, 0
269, 40922.00, 0
270, 40922.00, 0
271, 40922.00, 0
272, 40922.00, 0
273, 40922.00, 0
274, 40922.00, 0
275, 40922.00, 0
276, 40922.00, 1
277, 40922.00, 0
278, 40922.00, 0
279, 40922.00, 0
280, 40922.00, 0
281, 40922.00, 0
282, 39891.00, 0
283, 39891.00, 1
284, 39891.00, 0
285, 39891.00, 0
286, 39891.00, 0
287, 39891.00, 0
288, 39891.00, 0
289, 39891.00, 0
290, 39891.00, 0
291, 39719.00, 0
292, 39719.00, 0
293, 39719.00, 0
294, 39634.00, 0
295, 39634.00, 1
296, 39634.00, 0
297, 39634.00, 0
298, 39634.00, 0
299, 39634.00, 0
300, 39634.00, 0
301, 39634.00, 0
302, 39634.00, 1
303, 39634.00, 0
304, 39634.00, 0
305, 39634.00, 0
306, 39634.00, 0
307, 39634.00, 0
308, 39634.00, 0
309, 39634.00, 0
310, 39634.00, 0
311, 39634.00, 0
312, 39634.00, 0
313, 39634.00, 0
314, 39634.00, 1
315, 39634.00, 0
316, 39634.00, 0
317, 39634.00, 0
318, 39634.00, 0
319, 39634.00, 0
320, 39634.00, 0
321, 39634.00, 0
322, 39634.00, 1
323, 39634.00, 0
324, 39634.00, 0
325, 39634.00, 0
326, 39634.00, 0
327, 39634.00, 0
328, 39634.00, 0
329, 39634.00, 0
330, 39634.00, 0
331, 39634.00, 0
332, 39634.00, 0
333, 39634.00, 1
334, 39634.00, 0
335, 39634.00, 0
336, 39634.00, 0
337, 39634.00, 0
338, 39634.00, 0
339, 39634.00, 0
340, 39634.00, 1
341, 39634.00, 0
342, 39634.00, 0
343, 39634.00, 0
344, 39634.00, 0
345, 39634.00, 0
346, 39634.00, 0
347, 39634.00, 0
348, 39634.00, 0
349, 39634.00, 0
350, 39634.00, 0
351, 39634.00, 0
352, 39634.00, 0
353, 39634.00, 0
354, 39634.00, 0
355, 39634.00, 0
356, 39634.00, 0
357, 39634.00, 0
358, 39104.00, 0
359, 39104.00, 1
360, 39104.00, 0
361, 39104.00, 0
362, 39104.00, 0
363, 39104.00, 0
364, 39104.00, 0
365, 39104.00, 0
366, 39024.00, 0
367, 39024.00, 0
368, 39024.00, 0
369, 39024.00, 0
370, 39024.00, 0
371, 39024.00, 1
372, 39024.00, 0
373, 39024.00, 0
374, 39024.00, 0
375, 39024.00, 0
376, 39024.00, 0
377, 39024.00, 0
378, 39024.00, 1
379, 39024.00, 0
380, 39024.00, 0
381, 39024.00, 0
382, 39024.00, 0
383, 39012.00, 0
384, 39012.00, 0
385, 39012.00, 0
386, 39012.00, 0
387, 39012.00, 0
388, 39012.00, 0
389, 39012.00, 0
390, 39012.00, 1
391, 39012.00, 0
392, 39012.00, 0
393, 39012.00, 0
394, 39012.00, 0
395, 39012.00, 0
396, 39012.00, 0
397, 39012.00, 0
398, 39012.00, 1
399, 39012.00, 0
400, 39012.00, 0
401, 39012.00, 0
402, 39012.00, 0
403, 39012.00, 0
404, 39012.00, 0
405, 39012.00, 0
406, 39012.00, 0
407, 39012.00, 0
408, 39012.00, 1
409, 39012.00, 0
410, 39012.00, 0
411, 38988.00, 0
412, 38988.00, 0
413, 38988.00, 0
414, 38988.00, 0
415, 38988.00, 0
416, 38988.00, 0
417, 38988.00, 0
418, 38988.00, 1
419, 38570.00, 0
420, 38570.00, 0
421, 38570.00, 0
422, 38570.00, 0
423, 38570.00, 0
424, 38570.00, 0
425, 38570.00, 0
426, 38570.00, 0
427, 38570.00, 0
428, 38570.00, 0
429, 38570.00, 1
430, 38570.00, 0
431, 38570.00, 0
432, 38570.00, 0
433, 38570.00, 0
434, 38570.00, 0
435, 38570.00, 0
436, 38570.00, 1
437, 38570.00, 0
438, 38570.00, 0
439, 38570.00, 0
440, 38570.00, 0
441, 38570.00, 0
442, 38570.00, 0
443, 38570.00, 0
444, 38570.00, 0
445, 38570.00, 0
446, 38570.00, 0
447, 38570.00, 0
448, 38570.00, 1
449, 38183.00, 0
450, 38183.00, 0
451, 38183.00, 0
452, 38183.00, 0
453, 37628.00, 0
454, 37628.00, 0
455, 37628.00, 1
456, 37241.00, 0
457, 37241.00, 0
458, 37241.00, 0
459, 37241.00, 0
460, 37241.00, 0
461, 37241.00, 0
462, 37241.00, 0
463, 37241.00, 0
464, 37241.00, 0
465, 37241.00, 0
466, 37241.00, 0
467, 37241.00, 1
468, 37241.00, 0
469, 37241.00, 0
470, 37241.00, 0
471, 37241.00, 0
472, 37241.00, 0
473, 37241.00, 0
474, 37241.00, 1
475, 37241.00, 0
476, 37241.00, 0
477, 37158.00, 0
478, 37158.00, 0
479, 37158.00, 0
480, 37158.00, 0
481, 37158.00, 0
482, 37158.00, 0
483, 37158.00, 0
484, 37158.00, 0
485, 37158.00, 0
486, 37158.00, 1
487, 37158.00, 0
488, 37158.00, 0
489, 37158.00, 0
490, 37158.00, 0
491, 37158.00, 0
492, 37158.00, 0
493, 37158.00, 0
494, 37158.00, 1
495, 37158.00, 0
496, 37158.00, 0
497, 37158.00, 0
498, 37158.00, 0
499, 37158.00, 0
500, 37158.00, 0
501, 37158.00, 0
502, 37158.00, 0
503, 37158.00, 0
504, 37158.00, 0
505, 37158.00, 1
506, 37158.00, 0
507, 37147.00, 0
508, 37147.00, 0
509, 37147.00, 0
510, 37147.00, 0
511, 37147.00, 0
512, 37147.00, 1
513, 37147.00, 0
514, 37147.00, 0
515, 37147.00, 0
516, 37147.00, 0
517, 37147.00, 0
518, 37147.00, 0
519, 37147.00, 0
520, 37147.00, 0
521, 37147.00, 0
522, 37147.00, 0
523, 37147.00, 0
524, 37147.00, 1
525, 37147.00, 0
526, 37147.00, 0
